*** New Session***
30/10/2017 14:58:38
Product Name: hr sensor
1143270187 : Tx: [80][FF][FF][FF][C4][57][B4][48]
1143270421 : Tx: [80][FF][FF][FF][C4][57][B4][48]
1143270671 : Tx: [00][FF][FF][FF][19][5B][B5][48]
1143270921 : Tx: [00][FF][FF][FF][19][5B][B5][48]
1143271171 : Tx: [00][FF][FF][FF][19][5B][B5][48]
1143271406 : Tx: [00][FF][FF][FF][6E][5E][B6][48]
1143271656 : Tx: [80][FF][FF][FF][6E][5E][B6][48]
1143271906 : Tx: [80][FF][FF][FF][6E][5E][B6][48]
1143272156 : Tx: [80][FF][FF][FF][6E][5E][B6][48]
1143272406 : Tx: [80][FF][FF][FF][C3][61][B7][48]
1143272640 : Tx: [00][FF][FF][FF][C3][61][B7][48]
1143272890 : Tx: [00][FF][FF][FF][C3][61][B7][48]
1143273140 : Tx: [00][FF][FF][FF][18][65][B8][48]
1143273390 : Tx: [00][FF][FF][FF][18][65][B8][48]
1143273625 : Tx: [80][FF][FF][FF][18][65][B8][48]
1143273875 : Tx: [80][FF][FF][FF][6D][68][B9][48]
1143274125 : Tx: [80][FF][FF][FF][6D][68][B9][48]
1143274375 : Tx: [80][FF][FF][FF][6D][68][B9][48]
1143274609 : Tx: [00][FF][FF][FF][6D][68][B9][48]
1143274859 : Tx: [00][FF][FF][FF][C2][6B][BA][48]
1143275109 : Tx: [00][FF][FF][FF][C2][6B][BA][48]
1143275359 : Tx: [00][FF][FF][FF][C2][6B][BA][48]
1143275593 : Tx: [80][FF][FF][FF][17][6F][BB][48]
1143275843 : Tx: [80][FF][FF][FF][17][6F][BB][48]
1143276093 : Tx: [80][FF][FF][FF][17][6F][BB][48]
1143276343 : Tx: [80][FF][FF][FF][6C][72][BC][48]
1143276578 : Tx: [00][FF][FF][FF][6C][72][BC][48]
1143276828 : Tx: [00][FF][FF][FF][6C][72][BC][48]
1143277078 : Tx: [00][FF][FF][FF][6C][72][BC][48]
1143277328 : Tx: [00][FF][FF][FF][C1][75][BD][48]
1143277562 : Tx: [80][FF][FF][FF][C1][75][BD][48]
1143277812 : Tx: [80][FF][FF][FF][C1][75][BD][48]
1143278062 : Tx: [80][FF][FF][FF][16][79][BE][48]
1143278312 : Tx: [80][FF][FF][FF][16][79][BE][48]
1143278562 : Tx: [00][FF][FF][FF][16][79][BE][48]
1143278796 : Tx: [00][FF][FF][FF][16][79][BE][48]
1143279046 : Tx: [00][FF][FF][FF][6B][7C][BF][48]
1143279296 : Tx: [00][FF][FF][FF][6B][7C][BF][48]
1143279546 : Tx: [80][FF][FF][FF][6B][7C][BF][48]
1143279781 : Tx: [80][FF][FF][FF][C0][7F][C0][48]
1143280031 : Tx: [82][0F][01][00][C0][7F][C0][48]
1143280281 : Tx: [82][0F][01][00][C0][7F][C0][48]
1143280531 : Tx: [02][0F][01][00][15][83][C1][48]
1143280765 : Tx: [02][0F][01][00][15][83][C1][48]
1143281015 : Tx: [00][FF][FF][FF][15][83][C1][48]
1143281265 : Tx: [00][FF][FF][FF][15][83][C1][48]
1143281515 : Tx: [80][FF][FF][FF][6A][86][C2][48]
1143281750 : Tx: [80][FF][FF][FF][6A][86][C2][48]
1143282000 : Tx: [80][FF][FF][FF][6A][86][C2][48]
1143282250 : Tx: [80][FF][FF][FF][BF][89][C3][48]
1143282500 : Tx: [00][FF][FF][FF][BF][89][C3][48]
1143282750 : Tx: [00][FF][FF][FF][BF][89][C3][48]
1143282984 : Tx: [00][FF][FF][FF][BF][89][C3][48]
1143283234 : Tx: [00][FF][FF][FF][14][8D][C4][48]
1143283484 : Tx: [80][FF][FF][FF][14][8D][C4][48]
1143283718 : Tx: [80][FF][FF][FF][14][8D][C4][48]
1143283968 : Tx: [80][FF][FF][FF][69][90][C5][48]
1143284218 : Tx: [80][FF][FF][FF][69][90][C5][48]
1143284468 : Tx: [00][FF][FF][FF][69][90][C5][48]
1143284703 : Tx: [00][FF][FF][FF][BE][93][C6][48]
1143284953 : Tx: [00][FF][FF][FF][BE][93][C6][48]
1143285203 : Tx: [00][FF][FF][FF][BE][93][C6][48]
1143285468 : Tx: [80][FF][FF][FF][BE][93][C6][48]
1143285703 : Tx: [80][FF][FF][FF][13][97][C7][48]
1143285937 : Tx: [80][FF][FF][FF][13][97][C7][48]
1143286187 : Tx: [80][FF][FF][FF][13][97][C7][48]
1143286437 : Tx: [00][FF][FF][FF][68][9A][C8][48]
1143286687 : Tx: [00][FF][FF][FF][68][9A][C8][48]
1143286921 : Tx: [00][FF][FF][FF][68][9A][C8][48]
1143287171 : Tx: [00][FF][FF][FF][BD][9D][C9][48]
1143287421 : Tx: [80][FF][FF][FF][BD][9D][C9][48]
1143287671 : Tx: [80][FF][FF][FF][BD][9D][C9][48]
1143287906 : Tx: [80][FF][FF][FF][BD][9D][C9][48]
1143288156 : Tx: [80][FF][FF][FF][12][A1][CA][48]
1143288406 : Tx: [00][FF][FF][FF][12][A1][CA][48]
1143288656 : Tx: [00][FF][FF][FF][12][A1][CA][48]
1143288890 : Tx: [00][FF][FF][FF][67][A4][CB][48]
1143289140 : Tx: [00][FF][FF][FF][67][A4][CB][48]
1143289390 : Tx: [80][FF][FF][FF][67][A4][CB][48]
1143289640 : Tx: [80][FF][FF][FF][67][A4][CB][48]
1143289875 : Tx: [80][FF][FF][FF][BC][A7][CC][48]
1143290125 : Tx: [80][FF][FF][FF][BC][A7][CC][48]
1143290375 : Tx: [00][FF][FF][FF][BC][A7][CC][48]
1143290625 : Tx: [00][FF][FF][FF][11][AB][CD][48]
1143290875 : Tx: [00][FF][FF][FF][11][AB][CD][48]
1143291109 : Tx: [00][FF][FF][FF][11][AB][CD][48]
1143291359 : Tx: [80][FF][FF][FF][66][AE][CE][48]
1143291609 : Tx: [80][FF][FF][FF][66][AE][CE][48]
1143291859 : Tx: [80][FF][FF][FF][66][AE][CE][48]
1143292093 : Tx: [80][FF][FF][FF][66][AE][CE][48]
1143292343 : Tx: [00][FF][FF][FF][BB][B1][CF][48]
1143292593 : Tx: [00][FF][FF][FF][BB][B1][CF][48]
1143292843 : Tx: [00][FF][FF][FF][BB][B1][CF][48]
1143293078 : Tx: [00][FF][FF][FF][10][B5][D0][48]
1143293328 : Tx: [80][FF][FF][FF][10][B5][D0][48]
1143293578 : Tx: [80][FF][FF][FF][10][B5][D0][48]
1143293828 : Tx: [80][FF][FF][FF][10][B5][D0][48]
1143294062 : Tx: [80][FF][FF][FF][65][B8][D1][48]
1143294312 : Tx: [00][FF][FF][FF][65][B8][D1][48]
1143294562 : Tx: [00][FF][FF][FF][65][B8][D1][48]
1143294812 : Tx: [00][FF][FF][FF][BA][BB][D2][48]
1143295046 : Tx: [00][FF][FF][FF][BA][BB][D2][48]
1143295296 : Tx: [80][FF][FF][FF][BA][BB][D2][48]
1143295546 : Tx: [80][FF][FF][FF][0F][BF][D3][48]
1143295796 : Tx: [80][FF][FF][FF][0F][BF][D3][48]
1143296031 : Tx: [83][01][01][33][0F][BF][D3][48]
1143296281 : Tx: [03][01][01][33][0F][BF][D3][48]
1143296531 : Tx: [03][01][01][33][64][C2][D4][48]
1143296781 : Tx: [03][01][01][33][64][C2][D4][48]
1143297015 : Tx: [00][FF][FF][FF][64][C2][D4][48]
1143297265 : Tx: [80][FF][FF][FF][B9][C5][D5][48]
1143297515 : Tx: [80][FF][FF][FF][B9][C5][D5][48]
